User_Name,Review_Date,Rating,Review_Message,Helpful_Count,Has_Developer_Reply,Developer_Reply_Message,Developer_Reply_Date
A Google user,2025-05-16 18:35:06,1,service is very bad don't use this app,0,False,,
A Google user,2025-05-16 18:02:34,1,Noot good enough now no support team leads are rejected after successfully sale product and there is no one for help every service is paid not good for use in 2025,0,False,,
A Google user,2025-05-16 16:05:18,1,worst app if i complete task properly they are not giving payout,0,False,,
A Google user,2025-05-16 12:48:01,1,bohot bekar service he payout nhi deta he or update bhi nhi kr pata he lead ko har service ke lie rachges magta he total time west application he.,0,False,,
A Google user,2025-05-15 12:50:23,1,very poor And cheating app here,0,True,"We wanted to reach out & extend our apologies for the inconvenience. However, it is difficult for us to identify your account from the review. We request you to share your contact info with us at support@gromo.in or at 9289395936. We would be more than happy to assist you. Thank you.",2025-05-15 15:27:46
A Google user,2025-05-15 11:31:01,1,"Not recieved my bonus for getting open 3 kotak 811 a/c, saying lot of additional procedures to claim reward",0,True,"We wanted to reach out & extend our apologies for the inconvenience. However, it is difficult for us to identify your account from the review. We request you to share your contact info with us at support@gromo.in or at 9289395936. We would be more than happy to assist you. Thank you.",2025-05-15 15:27:39
A Google user,2025-05-15 10:04:50,1,very poor and cheating app ever.,0,True,"We wanted to reach out & extend our apologies for the inconvenience. However, it is difficult for us to identify your account from the review. We request you to share your contact info with us at support@gromo.in or at 9289395936. We would be more than happy to assist you. Thank you.",2025-05-15 15:27:31
A Google user,2025-05-15 08:07:30,1,very poor and cheating aap,0,True,"We wanted to reach out & extend our apologies for the inconvenience. However, it is difficult for us to identify your account from the review. We request you to share your contact info with us at support@gromo.in or at 9289395936. We would be more than happy to assist you. Thank you.",2025-05-15 15:27:26
A Google user,2025-05-15 07:39:28,1,very bad App logo ke paise ka inko koi update nhi rahta aayege bhi ya nhi castumer care ke pass koi solution nhi h,0,True,"We wanted to reach out & extend our apologies for the inconvenience. However, it is difficult for us to identify your account from the review. We request you to share your contact info with us at support@gromo.in or at 9289395936. We would be more than happy to assist you. Thank you.",2025-05-15 15:27:21
A Google user,2025-05-14 11:12:53,1,useless app,0,True,"We wanted to reach out & extend our apologies for the inconvenience. However, it is difficult for us to identify your account from the review. We request you to share your contact info with us at support@gromo.in or at 9289395936. We would be more than happy to assist you. Thank you.",2025-05-15 15:27:13
A Google user,2025-05-13 14:02:53,1,"Gromo is the worst platform because I created 50 lead but the success ratio is very low, They say that the lead track could not be done from the brand’s side but are unable to give a proper reason for the same. Lastly, they say that if the brand does not pay you, then you will be paid by gromo. For which you should have a protected membership. This is also fine, but the limit is crossed when it is said that it will be activated by the next lead.",5,True,"We wanted to reach out & extend our apologies for the inconvenience. However, it is difficult for us to identify your account from the review. We request you to share your contact info with us at support@gromo.in or at 9289395936. We would be more than happy to assist you. Thank you.",2025-05-13 18:48:41
A Google user,2025-05-13 10:08:39,1,very poor cheating app ever,0,True,"We wanted to reach out & extend our apologies for the inconvenience. However, it is difficult for us to identify your account from the review. We request you to share your contact info with us at support@gromo.in or at 9289395936. We would be more than happy to assist you. Thank you.",2025-05-13 10:56:36
A Google user,2025-05-13 09:34:06,1,worst tracking of leads my lead is still panding 1 month to go !,1,True,"We wanted to reach out & extend our apologies for the inconvenience. However, it is difficult for us to identify your account from the review. We request you to share your contact info with us at support@gromo.in or at 9289395936. We would be more than happy to assist you. Thank you",2025-04-22 10:34:47
A Google user,2025-05-13 08:44:28,1,very poor And cheating app ever 😮‍💨,0,True,"We wanted to reach out & extend our apologies for the inconvenience. However, it is difficult for us to identify your account from the review. We request you to share your contact info with us at support@gromo.in or at 9289395936. We would be more than happy to assist you. Thank you.",2025-05-13 10:56:18
